Year,SERIES,UNIT_MEASURE,Sex,Age,Value
2014,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,under 18 years old,0
2015,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,under 18 years old,0
2014,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,under 18 years old,0
2015,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,under 18 years old,0
2014,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,18 years old and over,3
2015,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,18 years old and over,0
2014,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,18 years old and over,0
2015,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,18 years old and over,0
2010,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,,14
2011,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,,4
2012,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,,10
2014,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,,3
2015,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Female,,0
2010,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,,3
2011,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,,6
2012,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,,3
2014,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,,0
2015,"Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Number,Male,,0
2005,Detected victims of human trafficking for other purposes (number) [16.2.2],Number,Female,under 18 years old,0
