Year,SERIES,UNIT_MEASURE,Value
2000,Foreign direct investment (FDI) inflows [17.3.1],USD,146.07558
2001,Foreign direct investment (FDI) inflows [17.3.1],USD,118.86707
2002,Foreign direct investment (FDI) inflows [17.3.1],USD,265.17368999999997
2003,Foreign direct investment (FDI) inflows [17.3.1],USD,381.05307
2004,Foreign direct investment (FDI) inflows [17.3.1],USD,511.18617
2005,Foreign direct investment (FDI) inflows [17.3.1],USD,351.18582000000004
2006,Foreign direct investment (FDI) inflows [17.3.1],USD,554.69003
2007,Foreign direct investment (FDI) inflows [17.3.1],USD,1819.24423
2008,Foreign direct investment (FDI) inflows [17.3.1],USD,1001.64769
2009,Foreign direct investment (FDI) inflows [17.3.1],USD,249.9485
2010,Foreign direct investment (FDI) inflows [17.3.1],USD,406.08909
2011,Foreign direct investment (FDI) inflows [17.3.1],USD,496.52508
2012,Foreign direct investment (FDI) inflows [17.3.1],USD,394.87324
2013,Foreign direct investment (FDI) inflows [17.3.1],USD,276.36172
2014,Foreign direct investment (FDI) inflows [17.3.1],USD,550.1991
2015,Foreign direct investment (FDI) inflows [17.3.1],USD,361.14013
2016,Foreign direct investment (FDI) inflows [17.3.1],USD,319.00527999999997
2017,Foreign direct investment (FDI) inflows [17.3.1],USD,448.12862
2018,Foreign direct investment (FDI) inflows [17.3.1],USD,467.73305999999997
