Year,Value,UNIT_MEASURE,SERIES
2000,946.25,USD,"Total assistance for development, by recipient countries [10.b.1]"
2001,713.85,USD,"Total assistance for development, by recipient countries [10.b.1]"
2002,709.46,USD,"Total assistance for development, by recipient countries [10.b.1]"
2003,644.87,USD,"Total assistance for development, by recipient countries [10.b.1]"
2004,956.02667,USD,"Total assistance for development, by recipient countries [10.b.1]"
2005,731.17263,USD,"Total assistance for development, by recipient countries [10.b.1]"
2006,1195.74263,USD,"Total assistance for development, by recipient countries [10.b.1]"
2007,1280.61466,USD,"Total assistance for development, by recipient countries [10.b.1]"
2008,1294.87862,USD,"Total assistance for development, by recipient countries [10.b.1]"
2009,579.80176,USD,"Total assistance for development, by recipient countries [10.b.1]"
2010,935.87909,USD,"Total assistance for development, by recipient countries [10.b.1]"
2011,668.26576,USD,"Total assistance for development, by recipient countries [10.b.1]"
2012,1090.97392,USD,"Total assistance for development, by recipient countries [10.b.1]"
2013,985.5591800000001,USD,"Total assistance for development, by recipient countries [10.b.1]"
2014,551.3962,USD,"Total assistance for development, by recipient countries [10.b.1]"
2015,945.5898199999999,USD,"Total assistance for development, by recipient countries [10.b.1]"
2016,655.59926,USD,"Total assistance for development, by recipient countries [10.b.1]"
2017,1007.5807800000001,USD,"Total assistance for development, by recipient countries [10.b.1]"
2018,751.82054,USD,"Total assistance for development, by recipient countries [10.b.1]"
