Year,Value,UNIT_MEASURE,SERIES
2000,1.083,Per 100 population,IT_USE_ii99
2001,1.2009999999999998,Per 100 population,IT_USE_ii99
2002,2.648,Per 100 population,IT_USE_ii99
2003,3.965,Per 100 population,IT_USE_ii99
2004,15.469000000000001,Per 100 population,IT_USE_ii99
2005,21.326999999999998,Per 100 population,IT_USE_ii99
2006,25.122,Per 100 population,IT_USE_ii99
2007,27.92,Per 100 population,IT_USE_ii99
2008,34.66,Per 100 population,IT_USE_ii99
2009,37.74,Per 100 population,IT_USE_ii99
2010,42.75,Per 100 population,IT_USE_ii99
2011,43.888000000000005,Per 100 population,IT_USE_ii99
2012,45.065,Per 100 population,IT_USE_ii99
2013,48.521,Per 100 population,IT_USE_ii99
2014,49.918,Per 100 population,IT_USE_ii99
2015,52.6,Per 100 population,IT_USE_ii99
2016,60.257,Per 100 population,IT_USE_ii99
2017,64.892,Per 100 population,IT_USE_ii99
2018,70.12,Per 100 population,IT_USE_ii99
