Year,Value,UNIT_MEASURE,SERIES
2005,0,NUMBER,VC_HTF_DETVOP
2006,0,NUMBER,VC_HTF_DETVOP
2007,0,NUMBER,VC_HTF_DETVOP
2008,0,NUMBER,VC_HTF_DETVOP
2009,0,NUMBER,VC_HTF_DETVOP
2010,0,NUMBER,VC_HTF_DETVOP
2011,0,NUMBER,VC_HTF_DETVOP
2012,0,NUMBER,VC_HTF_DETVOP
2014,36,NUMBER,VC_HTF_DETVOP
2015,28,NUMBER,VC_HTF_DETVOP
2016,23,NUMBER,VC_HTF_DETVOP
2005,66,NUMBER,VC_HTF_DETV
2006,71,NUMBER,VC_HTF_DETV
2007,41,NUMBER,VC_HTF_DETV
2008,33,NUMBER,VC_HTF_DETV
2009,69,NUMBER,VC_HTF_DETV
2010,25,NUMBER,VC_HTF_DETV
2011,35,NUMBER,VC_HTF_DETV
2012,39,NUMBER,VC_HTF_DETV
2014,49,NUMBER,VC_HTF_DETV
2015,35,NUMBER,VC_HTF_DETV
2016,48,NUMBER,VC_HTF_DETV
