Year,Value,UNIT_MEASURE,SERIES
2000,0.66104,PT,SH_SAN_DEFECT
2001,0.59606,PT,SH_SAN_DEFECT
2002,0.53138,PT,SH_SAN_DEFECT
2003,0.46701000000000004,PT,SH_SAN_DEFECT
2004,0.40296,PT,SH_SAN_DEFECT
2005,0.33923000000000003,PT,SH_SAN_DEFECT
2006,0.27581,PT,SH_SAN_DEFECT
2007,0.21270999999999998,PT,SH_SAN_DEFECT
2008,0.14993,PT,SH_SAN_DEFECT
2009,0.08747,PT,SH_SAN_DEFECT
2010,0.02532,PT,SH_SAN_DEFECT
2011,0.0,PT,SH_SAN_DEFECT
2012,0.0,PT,SH_SAN_DEFECT
2013,0.0,PT,SH_SAN_DEFECT
2014,0.0,PT,SH_SAN_DEFECT
2015,0.0,PT,SH_SAN_DEFECT
2016,0.0,PT,SH_SAN_DEFECT
2017,0.0,PT,SH_SAN_DEFECT
2000,18.75907,PT,SH_SAN_SAFE
2001,18.54498,PT,SH_SAN_SAFE
2002,18.66326,PT,SH_SAN_SAFE
2003,18.82021,PT,SH_SAN_SAFE
2004,18.97643,PT,SH_SAN_SAFE
2005,19.133229999999998,PT,SH_SAN_SAFE
2006,19.289720000000003,PT,SH_SAN_SAFE
2007,19.4456,PT,SH_SAN_SAFE
2008,19.6013,PT,SH_SAN_SAFE
2009,19.75685,PT,SH_SAN_SAFE
2010,19.91232,PT,SH_SAN_SAFE
2011,20.067610000000002,PT,SH_SAN_SAFE
2012,20.22277,PT,SH_SAN_SAFE
2013,20.39251,PT,SH_SAN_SAFE
2014,20.594170000000002,PT,SH_SAN_SAFE
2015,20.91505,PT,SH_SAN_SAFE
2016,21.23535,PT,SH_SAN_SAFE
2017,21.55497,PT,SH_SAN_SAFE
2008,97.09766,PT,SH_SAN_HNDWSH
2009,97.10578000000001,PT,SH_SAN_HNDWSH
2010,97.1139,PT,SH_SAN_HNDWSH
2011,97.12205,PT,SH_SAN_HNDWSH
2012,97.13022,PT,SH_SAN_HNDWSH
2013,97.13837,PT,SH_SAN_HNDWSH
2014,97.14654,PT,SH_SAN_HNDWSH
2015,97.15502,PT,SH_SAN_HNDWSH
2016,97.1638,PT,SH_SAN_HNDWSH
