Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
AGG_AGR,AGG_AGR,AGG_AGR,AGG_AGR,3,2
AGG_ARMS,AGG_ARMS,AGG_ARMS,AGG_ARMS,3,2
AGG_CLTH,AGG_CLTH,AGG_CLTH,AGG_CLTH,3,2
AGG_IND,AGG_IND,AGG_IND,AGG_IND,3,2
AGG_OIL,AGG_OIL,AGG_OIL,AGG_OIL,3,2
AGG_TXT,AGG_TXT,AGG_TXT,AGG_TXT,3,2
ALP,ALP,ALP,ALP,9,4
BIM,BIM,BIM,BIM,6,2
COL,COL,COL,COL,6,2
CPR,CPR,CPR,CPR,6,2
CRO,CRO,CRO,CRO,6,2
FEO,FEO,FEO,FEO,6,2
FOF,FOF,FOF,FOF,6,2
GAS,GAS,GAS,GAS,6,2
GBO,GBO,GBO,GBO,6,2
MEO,MEO,MEO,MEO,6,2
MF13,MF13,MF13,MF13,6,2
MF421,MF421,MF421,MF421,6,2
NFO,NFO,NFO,NFO,6,2
NMA,NMA,NMA,NMA,6,2
NMC,NMC,NMC,NMC,6,2
NMM,NMM,NMM,NMM,6,2
WCH,WCH,WCH,WCH,6,2
